ID_Paquete,Cliente,Ciudad_Destino,Peso_kg,Volumen_m3,Deposito_Origen,Ruta,Km_Total,Num_Paradas
275,Domingo Sandoval-Vélez,Bogotá,25.6,2.38,,NO EXISTE EN GRAFO,,0
276,Ariel Coloma Agullo,Pereira,17.84,0.05,Pereira,Pereira,0.0,0
277,Filomena de Riba,Bucaramanga,12.36,2.97,Bucaramanga,Bucaramanga,0.0,0
278,Azahar Simó Cerdán,Bucaramanga,69.52,2.75,Bucaramanga,Bucaramanga,0.0,0
279,Luciano Corbacho Agudo,Cali,50.21,1.54,Bogota,Bogota -> Cali,458.0,1
280,Pío Saavedra,Santa Marta,46.52,2.88,,NO EXISTE EN GRAFO,,0
281,Juan Manuel de Acevedo,Medellín,6.43,0.37,,NO EXISTE EN GRAFO,,0
282,Ruperta Pinedo Falcón,Barranquilla,59.19,2.02,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
283,Natividad Fortuny Oliva,Medellín,8.93,1.12,,NO EXISTE EN GRAFO,,0
284,Maribel Esteve Arcos,Villavicencio,57.91,1.05,Bogota,Bogota -> Villavicencio,123.0,1
285,Eligio Benavent Ocaña,Pasto,53.96,1.5,Bogota,Bogota -> Cali -> Pasto,844.0,2
286,Francisco Riba Llano,Bucaramanga,9.34,2.34,Bucaramanga,Bucaramanga,0.0,0
287,Nicolás Flores Noriega,Neiva,3.31,2.53,Ibague,Ibague -> Neiva,211.0,1
288,Selena Macías,Tunja,54.29,2.53,Bogota,Bogota -> Tunja,139.0,1
289,Dora Ramirez Laguna,Tunja,5.21,2.85,Bogota,Bogota -> Tunja,139.0,1
290,Tadeo Llorens,Santa Marta,17.71,0.42,,NO EXISTE EN GRAFO,,0
291,Ulises Beltran,Pereira,72.48,2.53,Pereira,Pereira,0.0,0
292,Valero Jerez Aznar,Manizales,53.16,2.44,Ibague,Ibague -> Manizales,163.0,1
293,Herberto Ponce Peñas,Armenia,76.12,1.45,Ibague,Ibague -> Armenia,5.4,1
294,Ibán Juan José Cruz Calleja,Santa Marta,26.49,1.09,,NO EXISTE EN GRAFO,,0
295,Eladio Córdoba Díaz,Bogotá,12.6,2.93,,NO EXISTE EN GRAFO,,0
296,Maura Arrieta Riquelme,Pasto,74.33,1.7,Bogota,Bogota -> Cali -> Pasto,844.0,2
297,Virginia de Verdejo,Tunja,78.1,1.41,Bogota,Bogota -> Tunja,139.0,1
298,René Naranjo,Villavicencio,47.11,0.63,Bogota,Bogota -> Villavicencio,123.0,1
299,Marianela Susanita Lluch Arellano,Bogotá,79.08,1.99,,NO EXISTE EN GRAFO,,0
300,Mateo Chucho Verdú Cuéllar,Villavicencio,48.71,0.25,Bogota,Bogota -> Villavicencio,123.0,1
301,Íngrid Riquelme Garriga,Ibagué,37.12,1.43,,NO EXISTE EN GRAFO,,0
302,Anacleto Sebastián Pedro Iriarte,Barranquilla,22.98,1.5,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
303,Maxi Sastre,Bucaramanga,10.55,2.03,Bucaramanga,Bucaramanga,0.0,0
304,Rosaura Vera Alberola,Villavicencio,27.54,2.21,Bogota,Bogota -> Villavicencio,123.0,1
305,Milagros Yáñez,Bogotá,57.27,0.36,,NO EXISTE EN GRAFO,,0
306,Salomón Vilalta Clavero,Bucaramanga,2.49,1.96,Bucaramanga,Bucaramanga,0.0,0
307,Ibán Pardo Salazar,Barranquilla,73.02,2.17,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
308,Evaristo Jove,Medellín,78.73,2.45,,NO EXISTE EN GRAFO,,0
309,Nilo Campillo Feliu,Tunja,36.97,2.29,Bogota,Bogota -> Tunja,139.0,1
310,Jorge Velasco Gutiérrez,Manizales,75.23,0.96,Ibague,Ibague -> Manizales,163.0,1
311,Emelina Palacio Leon,Villavicencio,4.25,1.25,Bogota,Bogota -> Villavicencio,123.0,1
312,Lucila Revilla Gonzalo,Bucaramanga,52.69,2.25,Bucaramanga,Bucaramanga,0.0,0
313,Susanita Bernal Rocha,Barranquilla,11.52,1.31,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
314,Tomasa Andrade Alsina,Manizales,25.95,0.77,Ibague,Ibague -> Manizales,163.0,1
315,Noelia Fonseca-Borrego,Neiva,49.83,2.08,Ibague,Ibague -> Neiva,211.0,1
316,Goyo Teruel-Portero,Bogotá,11.81,0.69,,NO EXISTE EN GRAFO,,0
317,Cristian Isaías Abellán Abril,Cartagena,22.02,2.27,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
318,Eloy Salas,Barranquilla,61.58,1.48,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
319,Vanesa Aparicio,Santa Marta,5.4,2.21,,NO EXISTE EN GRAFO,,0
320,Hipólito Farré Maestre,Armenia,49.41,1.5,Ibague,Ibague -> Armenia,5.4,1
321,Candelaria Múñiz,Villavicencio,72.16,1.74,Bogota,Bogota -> Villavicencio,123.0,1
322,Erasmo Romeu Franch,Manizales,64.22,0.29,Ibague,Ibague -> Manizales,163.0,1
323,Micaela Palomo-Criado,Barranquilla,69.53,2.61,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
324,Ester Riera,Manizales,21.36,0.46,Ibague,Ibague -> Manizales,163.0,1
325,Guillermo Garay Belmonte,Bogotá,27.4,1.4,,NO EXISTE EN GRAFO,,0
326,Rosendo Rosselló,Medellín,52.74,1.69,,NO EXISTE EN GRAFO,,0
327,Carmina Gallardo,Barranquilla,16.14,1.53,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
328,Graciela Anglada Beltran,Villavicencio,73.65,0.78,Bogota,Bogota -> Villavicencio,123.0,1
329,Miguel Noguera Torrecilla,Pasto,49.07,2.11,Bogota,Bogota -> Cali -> Pasto,844.0,2
330,Coral María Luisa Chaparro Pina,Tunja,17.92,1.87,Bogota,Bogota -> Tunja,139.0,1
331,Juana Oller Naranjo,Pasto,50.59,2.55,Bogota,Bogota -> Cali -> Pasto,844.0,2
332,Violeta Bermejo Alcolea,Barranquilla,52.12,1.26,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
333,Mamen Río,Armenia,12.76,0.62,Ibague,Ibague -> Armenia,5.4,1
334,Milagros Martí Suarez,Barranquilla,31.26,0.69,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
335,Bienvenida Duque Santamaría,Santa Marta,64.65,0.7,,NO EXISTE EN GRAFO,,0
336,Marino Folch,Bucaramanga,16.4,2.25,Bucaramanga,Bucaramanga,0.0,0
337,Macaria Roma Cardona,Bucaramanga,73.96,1.57,Bucaramanga,Bucaramanga,0.0,0
338,Casandra Alemany Prieto,Medellín,32.21,2.12,,NO EXISTE EN GRAFO,,0
339,Vicenta Carvajal Llorens,Pereira,6.25,0.42,Pereira,Pereira,0.0,0
340,Maximiano Moll Blázquez,Neiva,13.67,1.88,Ibague,Ibague -> Neiva,211.0,1
341,Teodosio Carreño Guzman,Cartagena,2.81,0.89,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
342,Soledad Casanova,Santa Marta,0.42,1.54,,NO EXISTE EN GRAFO,,0
343,Maricruz Naranjo Vélez,Barranquilla,56.63,1.14,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
344,Clara Batalla Almagro,Armenia,52.99,1.02,Ibague,Ibague -> Armenia,5.4,1
345,Nicodemo Arranz Capdevila,Cartagena,3.45,0.57,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
346,Virginia Sarmiento Menéndez,Cartagena,52.7,0.5,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
347,Edgardo Roldán Mur,Cartagena,48.36,0.03,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
348,José Antonio del Acuña,Pereira,22.06,0.15,Pereira,Pereira,0.0,0
349,María Pilar Ramírez,Villavicencio,50.8,1.94,Bogota,Bogota -> Villavicencio,123.0,1
350,Albino del Abella,Ibagué,16.12,2.13,,NO EXISTE EN GRAFO,,0
351,Gertrudis de Torrent,Pasto,35.89,0.69,Bogota,Bogota -> Cali -> Pasto,844.0,2
352,Maricela Cabanillas Saldaña,Pereira,33.84,2.8,Pereira,Pereira,0.0,0
353,Melchor Báez-Bertrán,Armenia,58.52,2.64,Ibague,Ibague -> Armenia,5.4,1
354,Sol Casanova,Cali,75.27,1.33,Bogota,Bogota -> Cali,458.0,1
355,Marcial Bru Gordillo,Ibagué,63.37,0.75,,NO EXISTE EN GRAFO,,0
356,Martina Contreras-Rivas,Cali,58.15,0.2,Bogota,Bogota -> Cali,458.0,1
357,Miguela Zapata Rodrigo,Santa Marta,70.53,0.47,,NO EXISTE EN GRAFO,,0
358,Guillermo Salamanca Torrents,Cartagena,11.83,0.36,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
359,Paula Eulalia Español Coll,Cartagena,24.07,2.09,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
360,Ruperto Sarmiento,Pasto,57.85,2.5,Bogota,Bogota -> Cali -> Pasto,844.0,2
361,Matilde Alma Cid Sancho,Neiva,46.96,1.09,Ibague,Ibague -> Neiva,211.0,1
362,Antonia Correa Bermudez,Villavicencio,54.32,2.07,Bogota,Bogota -> Villavicencio,123.0,1
363,Nicolasa Barragán Asensio,Neiva,57.85,2.84,Ibague,Ibague -> Neiva,211.0,1
364,Nydia Armengol,Cali,77.85,2.5,Bogota,Bogota -> Cali,458.0,1
365,Zacarías Uría-Múgica,Bogotá,13.76,1.1,,NO EXISTE EN GRAFO,,0
366,Jafet de Sales,Manizales,73.37,2.8,Ibague,Ibague -> Manizales,163.0,1
367,Lupe Teruel,Ibagué,60.18,2.27,,NO EXISTE EN GRAFO,,0
368,Mercedes Madrid Paredes,Pasto,66.42,1.47,Bogota,Bogota -> Cali -> Pasto,844.0,2
369,Hector Jurado Bauzà,Villavicencio,11.46,2.31,Bogota,Bogota -> Villavicencio,123.0,1
370,Pancho Lladó-Pavón,Pereira,10.01,0.08,Pereira,Pereira,0.0,0
371,Tecla de Carbonell,Tunja,13.45,0.83,Bogota,Bogota -> Tunja,139.0,1
372,Elena Bertrán Jordá,Cartagena,44.0,1.94,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
373,Pili Regina Cámara Uribe,Cartagena,72.49,0.44,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
374,Eligio del Rosell,Manizales,8.68,0.01,Ibague,Ibague -> Manizales,163.0,1
375,Ruben Carpio Rodriguez,Pasto,30.38,2.09,Bogota,Bogota -> Cali -> Pasto,844.0,2
376,Ignacio Zurita Barberá,Ibagué,59.39,0.61,,NO EXISTE EN GRAFO,,0
377,Esperanza Campos Carmona,Bogotá,74.69,1.9,,NO EXISTE EN GRAFO,,0
378,Hortensia de Barriga,Neiva,75.78,1.38,Ibague,Ibague -> Neiva,211.0,1
379,Martín Dueñas Enríquez,Ibagué,59.98,0.23,,NO EXISTE EN GRAFO,,0
380,Adalberto Virgilio Vega López,Medellín,70.22,1.31,,NO EXISTE EN GRAFO,,0
381,Wilfredo Armas Bayo,Manizales,69.97,1.92,Ibague,Ibague -> Manizales,163.0,1
382,Ámbar Arribas Casal,Santa Marta,20.74,0.98,,NO EXISTE EN GRAFO,,0
383,Estela Torrens Higueras,Villavicencio,7.97,1.93,Bogota,Bogota -> Villavicencio,123.0,1
384,Sancho Diaz-Bartolomé,Tunja,46.83,0.21,Bogota,Bogota -> Tunja,139.0,1
385,Lorenza Giner Sandoval,Cartagena,64.68,0.57,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
386,Epifanio Rodriguez-Bertrán,Villavicencio,33.29,1.26,Bogota,Bogota -> Villavicencio,123.0,1
387,Paulina Campos Flores,Bogotá,56.55,2.77,,NO EXISTE EN GRAFO,,0
388,Teresita Izaguirre Céspedes,Bucaramanga,54.51,0.87,Bucaramanga,Bucaramanga,0.0,0
389,Ruy Cal Bermúdez,Armenia,77.98,1.56,Ibague,Ibague -> Armenia,5.4,1
390,Toni Perea Pedro,Neiva,24.38,1.02,Ibague,Ibague -> Neiva,211.0,1
391,Ramiro Gallardo Guardiola,Santa Marta,67.06,0.24,,NO EXISTE EN GRAFO,,0
392,Lucila Carrera Franch,Manizales,79.58,1.56,Ibague,Ibague -> Manizales,163.0,1
393,Flavio Arnau Aznar,Ibagué,16.02,0.12,,NO EXISTE EN GRAFO,,0
394,Valerio Blanco Sastre,Santa Marta,58.57,0.2,,NO EXISTE EN GRAFO,,0
395,Aroa Alberto Redondo,Pasto,51.44,1.48,Bogota,Bogota -> Cali -> Pasto,844.0,2
396,Sabas Peiró Medina,Pereira,48.8,1.32,Pereira,Pereira,0.0,0
397,Anastasia Carlos Batlle,Bogotá,12.1,1.29,,NO EXISTE EN GRAFO,,0
398,Jordán Vilaplana Coronado,Cali,46.86,0.71,Bogota,Bogota -> Cali,458.0,1
399,Jesús Muro Peiró,Manizales,78.75,1.59,Ibague,Ibague -> Manizales,163.0,1
400,María Mariño Santamaria,Medellín,53.33,2.47,,NO EXISTE EN GRAFO,,0
401,Amancio Quirino Bas Díez,Pasto,43.71,2.25,Bogota,Bogota -> Cali -> Pasto,844.0,2
402,Noa Montesinos Caballero,Bucaramanga,74.22,0.35,Bucaramanga,Bucaramanga,0.0,0
403,Máximo del Pedro,Villavicencio,2.62,1.37,Bogota,Bogota -> Villavicencio,123.0,1
404,Úrsula Maristela Salamanca Salvador,Tunja,4.95,0.49,Bogota,Bogota -> Tunja,139.0,1
405,Ruperta del Font,Villavicencio,29.31,0.09,Bogota,Bogota -> Villavicencio,123.0,1
406,Clara Nuñez Tirado,Barranquilla,27.94,0.43,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
407,Juan Pablo Giralt Parejo,Villavicencio,44.97,2.29,Bogota,Bogota -> Villavicencio,123.0,1
408,Tito León Jordán,Bogotá,15.91,2.15,,NO EXISTE EN GRAFO,,0
409,Corona Valero-Cuadrado,Bogotá,33.8,2.1,,NO EXISTE EN GRAFO,,0
410,Angelino Benavides-Sierra,Armenia,5.22,0.14,Ibague,Ibague -> Armenia,5.4,1
411,Carmela Barros Verdejo,Manizales,53.61,0.42,Ibague,Ibague -> Manizales,163.0,1
412,Duilio Neira Córdoba,Armenia,36.96,2.94,Ibague,Ibague -> Armenia,5.4,1
413,Loreto de Cobos,Pereira,0.39,2.58,Pereira,Pereira,0.0,0
414,Febe Muñoz Cerdán,Pereira,37.43,0.52,Pereira,Pereira,0.0,0
415,Teodosio Saturnino Doménech Salgado,Villavicencio,21.33,1.57,Bogota,Bogota -> Villavicencio,123.0,1
416,Victoriano Mauricio Garcia Feliu,Pasto,15.04,0.12,Bogota,Bogota -> Cali -> Pasto,844.0,2
417,Jenaro Piquer Escudero,Barranquilla,54.89,1.44,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
418,Verónica del Gallardo,Santa Marta,57.84,2.1,,NO EXISTE EN GRAFO,,0
419,Amando Pablo Escudero,Santa Marta,32.63,1.92,,NO EXISTE EN GRAFO,,0
420,Cándido Roman Bilbao,Cartagena,16.4,1.07,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
421,Agustín Anguita Malo,Bucaramanga,59.22,2.36,Bucaramanga,Bucaramanga,0.0,0
422,Marcos Sanjuan Delgado,Tunja,49.67,0.56,Bogota,Bogota -> Tunja,139.0,1
423,Regina Angulo Tapia,Santa Marta,7.47,2.19,,NO EXISTE EN GRAFO,,0
424,Corona Carballo Quintana,Cali,14.9,1.64,Bogota,Bogota -> Cali,458.0,1
425,Fito Busquets-Velázquez,Tunja,75.92,1.84,Bogota,Bogota -> Tunja,139.0,1
426,Luisina Solera Aznar,Manizales,10.69,2.86,Ibague,Ibague -> Manizales,163.0,1
427,Belen Rios-Company,Medellín,19.72,1.75,,NO EXISTE EN GRAFO,,0
428,Carmelita Cerdán-Salamanca,Barranquilla,11.12,2.73,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
429,Isa Doménech Báez,Armenia,22.31,1.73,Ibague,Ibague -> Armenia,5.4,1
430,Lisandro Requena Arias,Cartagena,5.68,0.36,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
431,Plinio Rubén Roman Guitart,Bogotá,60.91,1.72,,NO EXISTE EN GRAFO,,0
432,Anabel Carlos Sedano,Cali,16.17,1.57,Bogota,Bogota -> Cali,458.0,1
433,Brunilda Carreño Cañete,Manizales,79.05,0.98,Ibague,Ibague -> Manizales,163.0,1
434,Pelayo Puga Reina,Neiva,32.96,1.13,Ibague,Ibague -> Neiva,211.0,1
435,Manu Correa Bertrán,Bogotá,1.05,0.98,,NO EXISTE EN GRAFO,,0
436,Lorenzo Segarra-Boada,Armenia,32.44,2.71,Ibague,Ibague -> Armenia,5.4,1
437,Tamara Pont Alcolea,Bucaramanga,10.68,1.34,Bucaramanga,Bucaramanga,0.0,0
438,Leire Velasco Herranz,Santa Marta,8.15,2.57,,NO EXISTE EN GRAFO,,0
439,Marina de Pérez,Pasto,1.61,0.07,Bogota,Bogota -> Cali -> Pasto,844.0,2
440,Isabela Rivas,Villavicencio,12.11,1.82,Bogota,Bogota -> Villavicencio,123.0,1
441,Gastón España Pinto,Manizales,30.71,2.35,Ibague,Ibague -> Manizales,163.0,1
442,Adelaida Rovira-Sabater,Tunja,67.43,0.57,Bogota,Bogota -> Tunja,139.0,1
443,Porfirio de Castillo,Villavicencio,61.48,2.44,Bogota,Bogota -> Villavicencio,123.0,1
444,Tecla de Lerma,Bucaramanga,42.25,2.12,Bucaramanga,Bucaramanga,0.0,0
445,Gabriel Zapata Benito,Pasto,79.55,1.59,Bogota,Bogota -> Cali -> Pasto,844.0,2
446,Jose Manuel Mas Company,Medellín,46.35,0.97,,NO EXISTE EN GRAFO,,0
447,Ramiro Baena Colom,Santa Marta,74.34,0.56,,NO EXISTE EN GRAFO,,0
448,Inés Vallejo Puga,Cali,59.97,0.95,Bogota,Bogota -> Cali,458.0,1
449,Jose Antonio Solera Benavides,Pasto,54.71,2.76,Bogota,Bogota -> Cali -> Pasto,844.0,2
450,Amaya Godoy Cardona,Neiva,43.92,0.89,Ibague,Ibague -> Neiva,211.0,1
451,Joaquín Sandoval-Redondo,Pereira,26.88,1.45,Pereira,Pereira,0.0,0
452,Emperatriz Izquierdo Herrera,Villavicencio,63.49,0.8,Bogota,Bogota -> Villavicencio,123.0,1
453,Juanito Ricart Puga,Armenia,45.36,0.36,Ibague,Ibague -> Armenia,5.4,1
454,Pascual de Lillo,Manizales,7.29,2.72,Ibague,Ibague -> Manizales,163.0,1
455,Pascual Iborra Plana,Barranquilla,36.47,0.86,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
456,Obdulia Vera Maestre Ros,Bogotá,8.72,0.86,,NO EXISTE EN GRAFO,,0
457,Aurelio Orozco Crespo,Medellín,79.81,3.0,,NO EXISTE EN GRAFO,,0
458,Apolonia Pareja Miró,Pasto,43.67,1.27,Bogota,Bogota -> Cali -> Pasto,844.0,2
459,Cristian Hernandez Torres,Barranquilla,63.16,0.46,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
460,Dimas Mario Giner Huguet,Pereira,55.48,2.67,Pereira,Pereira,0.0,0
461,Florina Sanz,Bucaramanga,30.94,1.58,Bucaramanga,Bucaramanga,0.0,0
462,Isa Tapia Morata,Manizales,32.71,2.22,Ibague,Ibague -> Manizales,163.0,1
463,Isabela Vall,Neiva,72.13,0.76,Ibague,Ibague -> Neiva,211.0,1
464,Luis Puerta Márquez,Armenia,63.45,1.24,Ibague,Ibague -> Armenia,5.4,1
465,Celestino Moles Galiano,Bucaramanga,52.74,0.53,Bucaramanga,Bucaramanga,0.0,0
466,Teobaldo Ledesma Morales,Tunja,79.43,2.63,Bogota,Bogota -> Tunja,139.0,1
467,Carmela Abellán Gil,Bucaramanga,64.96,2.16,Bucaramanga,Bucaramanga,0.0,0
468,Eugenia Garzón Jordán,Medellín,36.6,2.63,,NO EXISTE EN GRAFO,,0
469,Gaspar Tejera Guijarro,Santa Marta,5.05,2.69,,NO EXISTE EN GRAFO,,0
470,Coral Loreto Castelló Sandoval,Cartagena,12.49,0.03,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
471,Epifanio Rosselló Guzman,Bogotá,58.58,0.96,,NO EXISTE EN GRAFO,,0
472,Andrés del Yáñez,Tunja,50.22,2.82,Bogota,Bogota -> Tunja,139.0,1
473,Genoveva Jerez Aramburu,Cartagena,30.43,0.51,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
474,Lilia Reina,Villavicencio,36.29,1.49,Bogota,Bogota -> Villavicencio,123.0,1
475,Vicente Exposito Gámez,Manizales,73.93,2.89,Ibague,Ibague -> Manizales,163.0,1
476,Griselda Bello Acedo,Villavicencio,64.94,2.98,Bogota,Bogota -> Villavicencio,123.0,1
477,Ildefonso Yuste Ramirez,Armenia,11.24,1.68,Ibague,Ibague -> Armenia,5.4,1
478,Lucía Alfaro Sabater,Ibagué,77.48,0.46,,NO EXISTE EN GRAFO,,0
479,Cándido Salas Calleja,Cali,0.39,1.07,Bogota,Bogota -> Cali,458.0,1
480,Joan Correa Guillen,Ibagué,58.63,0.98,,NO EXISTE EN GRAFO,,0
481,Aura Perez-Alfaro,Bucaramanga,47.36,2.38,Bucaramanga,Bucaramanga,0.0,0
482,Claudia del Tovar,Manizales,61.01,1.61,Ibague,Ibague -> Manizales,163.0,1
483,Viviana del Ibañez,Pereira,60.31,0.62,Pereira,Pereira,0.0,0
484,Adalberto Enrique Milla Vaquero,Armenia,39.26,2.51,Ibague,Ibague -> Armenia,5.4,1
485,Nacho Campillo,Bucaramanga,5.62,2.17,Bucaramanga,Bucaramanga,0.0,0
486,Josefina Madrigal Cabezas,Tunja,76.04,1.15,Bogota,Bogota -> Tunja,139.0,1
487,Lupita Infante Cueto,Cartagena,26.3,1.78,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
488,Vito Salamanca,Pereira,6.6,1.82,Pereira,Pereira,0.0,0
489,Adela Gutierrez Vilalta,Cali,7.08,1.84,Bogota,Bogota -> Cali,458.0,1
490,René Ribera Morante,Bogotá,68.97,1.23,,NO EXISTE EN GRAFO,,0
491,Asdrubal de Alba,Bucaramanga,29.24,0.44,Bucaramanga,Bucaramanga,0.0,0
492,Moisés Camacho Carrión,Barranquilla,41.77,0.94,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
493,Natalia Ponce-Lloret,Armenia,64.47,2.56,Ibague,Ibague -> Armenia,5.4,1
494,Nydia Murcia Carranza,Pereira,72.57,2.04,Pereira,Pereira,0.0,0
495,Aurora de Peláez,Armenia,59.65,0.54,Ibague,Ibague -> Armenia,5.4,1
496,Leandro Zapata Cifuentes,Pereira,25.65,1.92,Pereira,Pereira,0.0,0
497,Mireia Gomila Clavero,Bogotá,26.35,0.09,,NO EXISTE EN GRAFO,,0
498,Amador del Cordero,Neiva,59.41,2.56,Ibague,Ibague -> Neiva,211.0,1
499,Rafa Cortes-Garcés,Manizales,60.96,0.62,Ibague,Ibague -> Manizales,163.0,1
500,América Anguita-Villalba,Ibagué,56.03,1.72,,NO EXISTE EN GRAFO,,0
501,Félix Hidalgo Giner,Barranquilla,67.63,2.25,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
502,Prudencio Martorell,Cali,5.17,2.94,Bogota,Bogota -> Cali,458.0,1
503,Gonzalo Castells Nevado,Neiva,68.55,0.4,Ibague,Ibague -> Neiva,211.0,1
504,Adoración Rosado Mur,Santa Marta,46.7,0.68,,NO EXISTE EN GRAFO,,0
505,Sara de Ripoll,Cartagena,37.94,1.03,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
506,Arcelia Moll Pons,Santa Marta,5.18,2.33,,NO EXISTE EN GRAFO,,0
507,Nayara Cabanillas Segovia,Ibagué,8.44,2.77,,NO EXISTE EN GRAFO,,0
508,Humberto Serna Pozuelo,Barranquilla,22.62,0.73,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
509,Valentina Llamas Catalán,Ibagué,59.72,1.19,,NO EXISTE EN GRAFO,,0
510,Florina Anselma Menéndez Santana,Cartagena,24.97,2.46,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
511,Águeda Neira Torrijos,Medellín,47.92,1.32,,NO EXISTE EN GRAFO,,0
512,Andrés Felipe Marqués Barceló,Armenia,23.47,1.7,Ibague,Ibague -> Armenia,5.4,1
513,Eusebia Calleja Pozo,Pereira,63.61,2.13,Pereira,Pereira,0.0,0
514,Luís Menéndez-Egea,Barranquilla,67.41,0.21,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
515,Florinda Bru Morata,Pasto,36.1,1.92,Bogota,Bogota -> Cali -> Pasto,844.0,2
516,Cándido de Malo,Cartagena,69.2,2.22,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
517,José Antonio Martin,Pereira,8.98,0.37,Pereira,Pereira,0.0,0
518,Susanita Tejada-Prada,Barranquilla,52.09,1.37,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
519,Pío Juan Pablo Peral Manjón,Santa Marta,37.49,0.31,,NO EXISTE EN GRAFO,,0
520,Eligio Marín Bárcena,Bucaramanga,28.36,1.0,Bucaramanga,Bucaramanga,0.0,0
521,Eladio Solano Hervia,Armenia,17.85,0.76,Ibague,Ibague -> Armenia,5.4,1
522,Alfredo Mulet Alba,Pereira,20.15,1.28,Pereira,Pereira,0.0,0
523,Susana Mendizábal Tolosa,Bogotá,57.51,2.93,,NO EXISTE EN GRAFO,,0
524,Juanito Aarón Blázquez Roldán,Cali,74.31,2.12,Bogota,Bogota -> Cali,458.0,1
525,Ale Gaya Gimeno,Armenia,49.14,1.36,Ibague,Ibague -> Armenia,5.4,1
526,Isidro Aguilera Alba,Neiva,68.73,2.43,Ibague,Ibague -> Neiva,211.0,1
527,Carlito Araujo,Tunja,56.1,0.12,Bogota,Bogota -> Tunja,139.0,1
528,Yéssica Cabrero Piña,Bucaramanga,43.64,0.46,Bucaramanga,Bucaramanga,0.0,0
529,Benigno Aurelio Chamorro Luna,Tunja,28.74,1.01,Bogota,Bogota -> Tunja,139.0,1
530,Encarnación Iglesias,Pasto,14.09,2.33,Bogota,Bogota -> Cali -> Pasto,844.0,2
531,Ambrosio Macario Camps Márquez,Ibagué,69.5,1.47,,NO EXISTE EN GRAFO,,0
532,María Ángeles Navarro Rosales,Bucaramanga,33.05,0.5,Bucaramanga,Bucaramanga,0.0,0
533,Benigna Coloma,Barranquilla,15.88,0.5,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
534,Ana Belén del Céspedes,Cali,52.7,1.83,Bogota,Bogota -> Cali,458.0,1
535,Ovidio Iñiguez Hervás,Bucaramanga,14.07,2.21,Bucaramanga,Bucaramanga,0.0,0
536,Ruperto Nicolás,Cartagena,22.88,2.26,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
537,Ricarda Aparicio Gallego,Neiva,30.28,1.12,Ibague,Ibague -> Neiva,211.0,1
538,Marisol Berenguer Boada,Cartagena,37.39,0.92,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
539,Néstor Salas Ballesteros,Cali,3.11,2.06,Bogota,Bogota -> Cali,458.0,1
540,Lucas Sanabria Vergara,Medellín,53.43,0.66,,NO EXISTE EN GRAFO,,0
541,Manu Tamarit-Becerra,Cartagena,23.28,2.01,Bucaramanga,Bucaramanga -> Cartagena,623.0,1
542,Clotilde Amalia García Ayllón,Medellín,24.19,2.7,,NO EXISTE EN GRAFO,,0
543,Evaristo Ballesteros-Vall,Barranquilla,65.86,1.9,Pereira,Pereira -> Medellin -> Barranquilla,992.0,2
544,Cipriano Barón Agustín,Pereira,28.82,2.04,Pereira,Pereira,0.0,0
545,Marcial Prats Heredia,Bogotá,33.27,1.85,,NO EXISTE EN GRAFO,,0
